,反应物,生成物
25059,0.667 Mn3O4 + 1-x NiO + 0.167 O2 + x ZnO ,1 Ni1-xZnxMn2O4
25060,1 PbO + 0.46 TiO2 + 0.54 ZrO2 ,1 Pb(Zr0.54Ti0.46)O3
25061,2-2*x Bi2O3 + x MnO2 + 0.5-0.5*x O2 + 4-4*x TiO2 ,"1 (1-x)(Ca0.4,Sr0.6)Bi4Ti4O15-xMnO2"
25062,1 BaCO3 + 1-x TiO2 + x ZrO2 ,1 BaZrxTi1-xO3 + 1 CO2
25063,20-x MnO2 + 10 PbO + 1 TeO2 + x ZnO ,1 TeO2-xZnO-(20-x)MnO2-10PbO
25064,2 MgCO3 + x SnO2 + 1-x TiO2 ,1 Mg2(Ti1-xSnx)O4 + 2 CO2
25065,1 BaCO3 + 1 La2O3 + 3 Li2CO3 + 1 Ta2O5 ,1 Li6BaLa2Ta2O12 + 4 CO2
25066,1.5 La2O3 + 2.5 Li2CO3 + 1 Ta2O5 ,1 Li5La3Ta2O12 + 2.5 CO2
25067,2-0.5*x Bi2O3 + 0.15 CaCO3 + 0.5*x Nd2O3 + 1.85 SrCO3 + 5 TiO2 ,1 Ca0.15Sr1.85Bi4-xNdxTi5O18 + 2 CO2
25068,1 CaCO3 + 3 CuO + 4 TiO2 ,1 CaCu3Ti4O12 + 1 CO2
25069,1 MgO + 1 Nb2O5 ,1 MgNb2O6
25070,1 Ta2O5 + 1 ZnO ,1 ZnTa2O6
25071,3 BaCO3 + 0.5 Li2CO3 + 1.5 Ta2O5 + 5 TiO2 ,1 Ba3LiTa3Ti5O21 + 3.5 CO2
25072,2 BaCO3 + 0.5 Li2CO3 + 1 SrCO3 + 1.5 Ta2O5 + 5 TiO2 ,1 Ba2SrLiTa3Ti5O21 + 3.5 CO2
25073,1 BaCO3 + 0.5 Li2CO3 + 2 SrCO3 + 1.5 Ta2O5 + 5 TiO2 ,1 BaSr2LiTa3Ti5O21 + 3.5 CO2
25074,0.5 Li2CO3 + 3 SrCO3 + 1.5 Ta2O5 + 5 TiO2 ,1 Sr3LiTa3Ti5O21 + 3.5 CO2
25075,3 BaCO3 + 0.5 Li2CO3 + 1.5 Nb2O5 + 5 TiO2 ,1 Ba3LiNb3Ti5O21 + 3.5 CO2
25076,2 BaCO3 + 0.5 Li2CO3 + 1.5 Nb2O5 + 1 SrCO3 + 5 TiO2 ,1 Ba2SrLiNb3Ti5O21 + 3.5 CO2
25077,1 BaCO3 + 0.5 Li2CO3 + 1.5 Nb2O5 + 2 SrCO3 + 5 TiO2 ,1 BaSr2LiNb3Ti5O21 + 3.5 CO2
25078,0.5 Li2CO3 + 1.5 Nb2O5 + 3 SrCO3 + 5 TiO2 ,1 Sr3LiNb3Ti5O21 + 3.5 CO2
25079,1 SnO2 + 1 TiO2 ,1 SnO2-TiO2
25080,4 BaCO3 + 4.665*z Bi2O3 + 2.332 La2O3 + 2.332 Sm2O3 + 18 TiO2 ,1 Ba4(La0.500000000000000Sm0.5Biz)9.33Ti18O54 + 4 CO2 + -0.002+6.998*z O2
25081,1 BaCO3 + 0.075 Bi2O3 + 0.075 MgO + 1.035 TiO2 + 0.04 ZrO2 ,1 Ba(Ti0.96Zr0.04)O3-0.15Bi(Mg0.5Ti0.5)O3 + 1 CO2
25082,0.5*x Ba2CO3 + 0.5*y Cs2CO3 + x+0.5*y Ga2O3 + 0.25*x O2 + 8-y-2*x TiO2 ,1 BaxCsyGa2x+yTi8-2x-yO16 + 0.5*x+0.5*y CO2
25083,2.5 Al2O3 + 3*x CeO2 + 0.75-0.75*x Tb4O7 ,1 (Tb1-xCex)3Al5O12 + 0.375+0.375*x O2
25084,2.5 Al2O3 + 0.75 Tb4O7 ,1 Tb3Al5O12 + 0.375 O2
25085,0.8-x CuO + 1 Fe2O3 + x NiO + 0.2 ZnO ,1 NixCu0.8-xZn0.2Fe2O4
25086,0.333 Co3O4 + 0.3 La2O3 + 0.183 O2 + 0.4 SrCO3 ,1 La0.6Sr0.4CoO3 + 0.4 CO2
25087,0.8 CeO2 + 0.1 Gd2O3 ,1 Ce0.8Gd0.2O1.9
25088,2 BaCO3 + 2 Nb2O5 + 3 TiO2 ,1 Ba2Ti3Nb4O18 + 2 CO2
25089,1 Ba(HO)2\u00b78H2O + 1 CuO + 2 H3BO3 ,1 BaCu(B2O5) + 12 H2O
25090,1-x BaCO3 + 1 SrCO3 + 1 TiO2 ,1 Ba1-xSr(x)TiO3 + 2-x CO2 + 0.5-0.5*x O2
25091,0.017 MnO2 + 0.347 Pb3O4 + 0.016 Sb2O3 + 0.48 TiO2 + 0.47 ZrO2 ,1 Pb1.04(Mn1/3Sb2/3)0.05Zr0.47Ti0.48O3 + 0.185 O2
25092,0.25*x Nb2O5 + 1 PbO + 0.25*x Yb2O3 + 1-x ZrO2 ,1 (1-x)PbZrO3-xPb(Yb1/2Nb1/2)O3
25093,0.5 Nb2O5 + 0.5 Yb2O3 ,1 YbNbO4
25094,3 Bi2O3 + 5 TiO2 + 1 WO3 ,1 Bi6Ti5WO22
25095,0.25 Fe2O3 + 0.25 Nb2O5 + 1 Pb(NO3)2 + 2 [OH-] ,1 Pb(Fe0.5Nb0.5)O3 + 1 H2O + 2 [NO3-]
25096,1-0.3*x BaCO3 + 0.3*x CaCO3 + 0.16-0.16*x HfO2 + 0.84+0.16*x TiO2 ,1 (1-x)Ba(Hf0.16Ti0.84)O3-x(Ba0.70Ca0.30)TiO3 + 1 CO2
25097,2.5 Bi2O3 + 0.5 Fe2O3 + 3 TiO2 ,1 Bi5FeTi3O15
25098,0.1 BaCO3 + 0.225 Bi2O3 + 0.225 Na2CO3 + 1-0.1*x TiO2 + 0.1*x Zr(NO3)4\u00b75H2O + 0.4*x [OH-] ,1 0.9(Bi0.5Na0.5)TiO3-0.1Ba(Ti1-xZrx)O3 + 0.325 CO2 + 0.7*x H2O + 0.4*x [NO3-]
25099,0.1 BaCO3 + 0.225 Bi2O3 + 0.45*y Li2CO3 + 0.225-0.45*y Na2CO3 + 0.994 TiO2 + 0.006 Zr(NO3)4\u00b75H2O + 0.022 [OH-] ,1 0.9(Bi0.5Na0.5-yLiy)TiO3-0.1Ba(Ti0.945Zr0.055)O3 + 0.325 CO2 + 0.038 H2O + 0.022 [NO3-]
25100,1 Ba(NO3)2 + 1-x SnO2 + 0.5*x Ta2O5 + 2 [OH-] ,1 Ba(Sn1-xTax)O3 + 1 H2O + 0.25*x O2 + 2 [NO3-]
25101,0.065 BaCO3 + 0.234 Bi2O3 + 0.25*x Li2CO3 + 0.234-0.25*x Na2CO3 + 1 TiO2 ,1 (0.935-x)(Na0.5Bi0.5)TiO3-xLi0.5Bi0.5TiO3-0.065BaTiO3 + 0.299 CO2
25102,1-x BaCO3 + 0.5*x K2CO3 + 1 TiO2 ,1 Ba1-xKxTiO3-x/2 + 1-0.5*x CO2
25103,2-0.5*x Bi2O3 + 0.333*x Co3O4 + 0.333*x O2 + 0.5*x Sm2O3 + 3-x TiO2 ,1 Bi4-xSmxTi3-xCoxO12
25104,1 BaCO3 + 1 TiO2 ,1 BaTiO3 + 1 CO2
25105,0.25 PbO + 0.75 SrCO3 + 1 TiO2 ,1 (Pb0.25Sr0.75)TiO3 + 0.75 CO2
25106,x MgO + 1 TiO2 + 1-x ZnO ,1 (Zn1-xMgx)TiO3
25107,1 MgO + 1 TiO2 + 1 ZnO ,1 (ZnMg)TiO3 + 0.5 O2
25108,0.25+0.25*x Bi2O3 + 0.5*x MgO + 0.25-0.25*x Na2CO3 + 1-x TiO2 + 0.5*x ZrO2 ,1 (1-x)(Na0.5Bi0.5)TiO3-xBi(Mg0.5Zr0.5)O3 + 0.25-0.25*x CO2
25109,0.25 BaCO3 + 0.375 Bi2O3 + 0.375 Fe2O3 + 0.238 TiO2 + 0.012 ZrO2 ,1 0.75BiFeO3-0.25Ba(Zr0.05Ti0.95)O3 + 0.25 CO2
25110,0.7-0.7*x BaCO3 + x Sb2O3 + 0.3-0.3*x SrCO3 + 0.995-0.995*x TiO2 ,1 (1-x)(Ba0.7Sr0.3)Ti0.995O2.99-xSb2O3 + 1-x CO2
25111,1-x BaCO3 + 0.334*x Bi2O3 + 1 TiO2 ,1 Ba1-xBi2x/3TiO3 + 1-x CO2
25112,0.5 Bi2O3 + 0.25 CoO + 0.25 Fe2O3 + 0.25 TiO2 ,1 Bi(Co1/4Ti1/4Fe1/2)O3
25113,1 BaCO3 + 2-0.5*x Bi2O3 + 0.5*x Dy2O3 + 4 TiO2 ,1 BaBi4-xDyxTi4O15 + 1 CO2
25114,0.05 CuO + 1 Fe2O3 + 0.35 NiO + 0.6 ZnO ,1 Ni0.35Cu0.05Zn0.6Fe2O4
25115,0.25 CuO + 1 Fe2O3 + 0.25 MgO + 0.5 ZnO ,1 Mg0.25Cu0.25Zn0.5Fe2O4
25116,0.475-0.5*x Bi2O3 + 0.4-0.5*x Fe2O3 + 0.05+x PbO + 0.075+x TiO2 + 0.075 ZnO + 0.05 ZrO2 ,1 (0.8-x)BiFeO3-xPbTiO3-0.15Bi(Zn1/2Ti1/2)O3-0.05PbZrO3
25117,1-x BaCO3 + 0.5*x Bi2O3 + 0.5*x Fe2O3 + 11-11*x O2 + -9+9*x TiO2 + -1+x ZrO2 ,1 Ba1-xBix(Ti0-9Zr0-1)1-xFexO3 + 1-x CO2
25118,1 BaCO3 + 0.85 TiO2 + 0.15 ZrO2 ,1 Ba(Zr0.15Ti0.85)O3 + 1 CO2
25119,0.5 Bi2O3 + 0.5 Fe2O3 ,1 BiFeO3 ; target BiFeO3 with additives Gd via Gd2O3 ; target BiFeO3 with additives Gd via Gd2O3
25120,0.5-0.5*x Bi2O3 + 0.5 Fe2O3 + 0.5*x Gd2O3 ,1 Bi1-xGdxFeO3
25121,1-x BaCO3 + x SrCO3 + 1 TiO2 ,1 Ba1-xSrxTiO3 + 1 CO2
25122,1 BaCO3 + 1-x TiO2 + x ZrO2 ,1 BaZrxTi1-xO3 + 1 CO2
25123,x BaCO3 + 0.5-0.5*x Bi2O3 + 0.5-0.5*x Fe2O3 + x TiO2 ,1 (1-x)BiFeO3-xBaTiO3 + x CO2
25124,0.5-0.5*x Bi2O3 + 0.5-0.5*x Fe2O3 + 0.5*x Na2CO3 + 0.5*x Nb2O5 ,1 Bi1-xNaxFe1-xNbxO3 + 0.5*x CO2
25125,0.5*x Nb2O5 + 1 SrCO3 + 1-x TiO2 ,1 SrTi1-xNbxO3 + 1 CO2 + 0.25*x O2
25126,0.01 Nb2O5 + 1.01 SrCO3 + 0.98 TiO2 ,1 Sr1.01Ti0.98Nb0.02O3 + 1.01 CO2 + 0.01 O2
25127,1-x BaCO3 + 0.334*x Bi2O3 + 1 TiO2 ,1 Ba1-xBi2x/3TiO3 + 1-x CO2
25128,0.425-0.5*x Bi2O3 + 0.5 Fe2O3 + 0.075 La2O3 + 0.25*x O2 + x PbO ,1 Bi0.85-xLa0.15PbxFeO3
25129,2 Bi2O3 + 1 SrCO3 + 4 TiO2 ,1 SrBi4Ti4O15 + 1 CO2
25130,0.125 Bi2O3 + 0.25 Fe2O3 + 0.125 La2O3 + 0.5 PbO + 0.5 TiO2 ,1 (Pb0.5Bi0.25La0.25)(Fe0.5Ti0.5)O3
25131,0.025 Bi2O3 + 0.05 Fe2O3 + 0.9 PbO + 0.9 TiO2 + 0.025 Y2O3 ,1 (Pb0.9Bi.05Y0.05)(Fe0.1Ti0.9)O3
25132,0.1 BaCO3 + 0.45-0.5*x Bi2O3 + 0.45-0.5*x Fe2O3 + x PbO + 0.1+x TiO2 ,1 (0.9-x)BiFeO3-xPbTiO3-0.1BaTiO3 + 0.1 CO2
25133,x BaCO3 + 0.5-0.5*x Bi2O3 + 0.5 Fe2O3 + 0.25*x O2 ,1 Bi1-xBaxFeO3 + x CO2
25134,1 BaCO3 + 0.5 Bi2O3 + 0.5 Fe2O3 ,1 BiBaFeO3 + 1 CO2 + 0.5 O2
25135,0.5-0.5*x Fe2O3 + 0.75-0.5*x O2 + 0.5*x Ta2O5 ,1 (Fe1-xTax)O3
25136,0.333*x Co3O4 + 1-x ZnO ,1 Zn1-xCoxO + 0.167*x O2
25137,0.2*x CaCO3 + 0.25-0.25*x K2CO3 + 0.4*x Li2CO3 + 0.25-0.25*x Na2CO3 + 0.5-0.5*x Nb2O5 + 0.4*x O2 + 0.4*x Sb2O3 + 0.2*x TiO2 ,1 (1-x)K0.5Na0.5NbO3-(0.8x)LiSbO3-(0.2x)CaTiO3 + 0.5+0.1*x CO2
25138,0.584 Nb2O5 + 0.166 Ni2O3 + 1 Pb3O4 + 0.25 Sb2O3 + 1 ZrO2 ,1 Pb(Sb1/2Nb1/2)O3-Pb(Ni1/3Nb2/3)O3-Pb(Zr) + 2.084 O2
25139,0.1+0.25*y Nb2O5 + 0.05 Ni2O3 + 0.333 Pb3O4 + 0.25*y Sb2O3 + (0.7-y)*(1-x) TiO2 + x*(0.7-y) ZrO2 ,1 0.3Pb(Ni1/3Nb2/3)O3-(0.7-y)Pb(ZrxTi1-x)O3-yPb(Sb1/2Nb1/2)O3 + -0.508+y+x*(0.7-y)+(0.7-y)*(1-x) O2
25140,0.5*x Al2O3 + 0.01+0.5*x Bi2O3 + 0.01 Na2CO3 + 0.04 ZrO2 ,1 0.04Bi0.5Na0.5ZrO3-xBiAlO3 + 0.01 CO2
25141,2 CaCO3 + 2 CuO + 4 TiO2 ,1 Ca2Cu2Ti4O12 + 2 CO2
25142,1.95 CaCO3 + 2 CuO + 0.025 La2O3 + 4 TiO2 ,1 Ca1.95La0.05Cu2Ti4O12 + 1.95 CO2 + 0.012 O2
25143,1.7 CaCO3 + 2 CuO + 0.15 La2O3 + 4 TiO2 ,1 Ca1.7La0.3Cu2Ti4O12 + 1.7 CO2 + 0.075 O2
25144,1 CaCO3 + 1 O2 + 1 Sb2O3 ,"1 CaSb2O6 + 1 CO2 ; target CaSb2O6 with additives xEu3+, yBi3+ via Bi2O3, Eu2O3 ; target CaSb2O6 with additives xEu3+, yBi3+ via Bi2O3, Eu2O3"
25145,0.469 Bi2O3 + 0.5 Fe2O3 + 0.031 Nd2O3 ,1 (Bi0.9375Nd0.0625)FeO3
25146,0.032 BaCO3 + 0.24 Bi2O3 + 0.006 CaCO3 + 0.028 K2CO3 + 0.213*x Li2CO3 + 0.213-0.213*x Na2CO3 + 0.996 TiO2 + 0.004 ZrO2 ,1 0.852(Bi0.50(Na1-xLix)0.50)TiO3-0.11(Bi0.50K0.50)TiO3-0.038Ba0.85Ca0.15Ti0.90Zr0.10O3 + 0.278 CO2
25147,4 CaCO3 + 1 La2O3 + 5 TiO2 ,1 Ca4La2Ti5O17 + 4 CO2
25148,0.014 Bi2O3 + 0.005 La2O3 + 0.95 Nb2O5 + 0.945 PbO + 0.125 TiO2 ,1 (Pb0.945Bi0.027La0.01)(Nb0.95Ti0.0625)2O6
25149,0.5*x Al2O3 + 0.5*x Fe2O3 + 0.25-0.25*x K2CO3 + 0.25-0.25*x Na2CO3 + 0.5-0.5*x Nb2O5 ,1 (1-x)K0.5Na0.5NbO3-xAlFeO3 + 0.5-0.5*x CO2
25150,0.5 Bi2O3 + 0.125 Fe2O3 + 0.375 MgO + 0.375 TiO2 ,1 Bi(Mg3/8Fe2/8Ti3/8)O3
25151,0.5 Bi2O3 + 0.5 Fe2O3 ,1 BiFeO3
25152,0.1 Nb2O5 + 0.05 Ni2O3 + 0.333 Pb3O4 + 0.7-0.7*x TiO2 + 0.7*x ZrO2 ,1 0.3Pb(Ni1/3Nb2/3)O3-0.7Pb(ZrxTi1-x)O3 + 0.192 O2
25153,0.5*x Al2(CO3)3 + 0.5 BaCO3 + 0.5*x Co2(CO3)3 + 6-x Fe2O3 + 0.5 SrCO3 ,1 Ba0.5Sr0.5CoxAlxFe12-2xO19 + 1+3*x CO2
25154,1-0.5*x Dy2O3 + 0.5 Fe2O3 ,1 Dy2-xFeO3 + 0.75-0.75*x O2
25155,0.5 Co2O3 + 1 Li2CO3 + 3 TiO2 ,1 Li2CoTi3O8 + 1 CO2 + 0.25 O2
25156,2 MgO + 1 SiO2 ,1 Mg2SiO4
25157,3 CuO + 0.334 Dy2O3 + 4 TiO2 ,1 Dy2/3Cu3Ti4O12
25158,0.248 Bi2O3 + 0.045 K2CO3 + 0.005 Li2CO3 + 0.203 Na2CO3 + 0.005 Sb2O5 + 0.495*x Ta2O5 + 0.99-0.99*x TiO2 ,1 0.99Bi0.5(Na0.82K0.18)0.5Ti1-xTaxO3-0.01LiSbO3 + 0.252 CO2 + 0.248*x O2
25159,0.25-0.25*x Fe2O3 + 0.25-0.25*x Nb2O5 + 1 SrCO3 + x TiO2 ,1 Sr((Fe0.5Nb0.5)1-xTix)O3 + 1 CO2
25160,0.72-0.72*x BaCO3 + 0.28-0.28*x CaCO3 + x CuO + 1-x Nb2O5 ,1 (1-x)Ca0.28Ba0.72Nb2O6-xCuO + 1-x CO2
25161,1 (NH4)2HPO4 + 1 AlF3\u00b73H2O + 1 CaCO3 + 0.5 Na2CO3 ,1 NaCaAlPO4F3 + 1.5 CO2 + 4.5 H2O + 2 NH3
25162,1 CuO + 1 Pr2O3 + 1 ZrO2 ,1 Pr2CuZrO6
25163,1 Nb2O5 + 1 NiO ,1 NiNb2O6
25164,2-0.5*x Nb2O5 + 5 SrCO3 + 0.5*x Ta2O5 + 1 TiO2 ,1 Sr5Nb4-xTaxTiO17 + 5 CO2
25165,0.5-0.5*x Fe2O3 + 0.5 Ho2O3 + x NiO + 0.25*x O2 ,1 HoFe1-xNixO3
25166,1 GeO2 + 2 ZnO ,1 Zn2GeO4
25167,0.6 BaCO3 + 0.4 SrCO3 + 1 TiO2 ,1 Ba0.6Sr0.4TiO3 + 1 CO2
25168,0.01 Nd2O3 + 0.98 ZnO ,1 Zn0.98Nd0.02O + 0.005 O2
25169,0.055 Nd2O3 + 0.89 ZnO ,1 Zn0.89Nd0.11O + 0.028 O2
25170,0.07 Nd2O3 + 0.86 ZnO ,1 Zn0.86Nd0.14O + 0.035 O2
25171,0.04 BaCO3 + 0.02 La2O3 + 0.3 Pb3O4 + 0.34 SnO2 + 0.15 TiO2 + 0.51 ZrO2 ,1 Pb0.90La0.04Ba0.04((Zr0.6Sn0.4)0.85Ti0.15)O3 + 0.04 CO2 + 0.15 O2
25172,1 BaCO3 + 0.02 La2O3 + 0.3 Pb3O4 + 0.34 SnO2 + 0.15 TiO2 + 0.51 ZrO2 ,1 Pb0.90La0.04Ba((Zr0.6Sn0.4)0.85Ti0.15)O3 + 1 CO2 + 0.63 O2
25173,3 CuO + 0.5 Na2CO3 + 0.5 Ta2O5 + 3 TiO2 ,1 NaCu3Ti3TaO12 + 0.5 CO2
25174,1.25 Bi2O3 + 0.125 K2CO3 + 0.125 Na2CO3 + 1 Nb2O5 ,1 Na0.25K0.25Bi2.5Nb2O9 + 0.25 CO2 ; target Na0.25K0.25Bi2.5Nb2O9 with additives Pr via Pr6O11 ; target Na0.25K0.25Bi2.5Nb2O9 with additives Pr via Pr6O11
25175,x TiTe3O8 + 0.3-0.3*x Zn3Nb2O8 + 0.7-0.7*x ZnNb2O6 ,1 (0.7-0.7x)ZnNb2O6-(0.3-0.3x)Zn3Nb2O8-xTiTe3O8
25176,0.275-x BaCO3 + 0.362-x Bi2O3 + 0.362-x Fe2O3 + x MnO2 + 0.275-x TiO2 ,1 (0.725-x-x)BiFeO3-(x-x)Bi(Ni0.5Mn0.5)O3-(0.275-x)BaTiO3-xMnO2 + 0.275-x CO2
25177,0.275 BaCO3 + 0.362 Bi2O3 + 0.362-0.5*x Fe2O3 + 0.5*x MnO2 + 0.5*x NiO + 0.275 TiO2 ,1 (0.725-x)BiFeO3-xBi(Ni0.5Mn0.5)O3-0.275BaTiO3 + 0.275 CO2
25178,0.95 BaCO3 + 0.05 CaO + 0.9 TiO2 + 0.1 ZrO2 ,1 Ba0.95Ca0.05Ti0.90Zr0.10O3 + 0.95 CO2
25179,y BaCO3 + 0.5-0.5*y Bi2O3 + 0.5-0.5*x-0.5*y Fe2O3 + y+0.5*x TiO2 + 0.5*x ZnO ,1 (1-x-y)BiFeO3-xBi(Zn1/2Ti1/2)O3-yBaTiO3 + y CO2
25180,5-x BaCO3 + x Na2CO3 + 5 Nb2O5 ,1 Ba5-xNa2xNb10O30 + 5 CO2
25181,4 BaCO3 + 1 Na2CO3 + 5 Nb2O5 ,1 Ba4Na2Nb10O30 + 5 CO2
25182,0.25 Bi2O3 + 0.25*x K2CO3 + 0.25-0.25*x Na2CO3 + 1 TiO2 ,1 (1-x)Bi0.5Na0.5TiO3-xBi0.5K0.5TiO3 + 0.25 CO2
25183,1 BaCO3 + 0.1-0.166*x Co2O3 + 0.334 Nb2O5 + 0.166*x Y2O3 + 0.127 ZnO ,1 Ba(Co0.6-xYxZn0.38)1/3Nb2/3O3 + 1 CO2 + 0.047 O2
25184,x SiO2 + 1-x SnO2 + 2 ZnO ,1 Zn2(Sn1-xSix)O4
25185,0.08 CaCO3 + 0.02 O2 + 0.96 Sm2O3 + 2 TiO2 ,1 Sm1.92Ca0.08Ti2O7 + 0.08 CO2
25186,0.01 La2O3 + 0.97 SrCO3 + 1 TiO2 ,1 Sr0.97La0.02TiO3 + 0.97 CO2
25187,1 BaCO3 + 1 TiO2 ,1 BaTiO3 + 1 CO2
25188,0.61*x CaCO3 + 0.13*x Nd2O3 + 1-x SrCO3 + 1 TiO2 ,1 (1-x)SrTiO3-xCa0.61Nd0.26TiO3 + 1-0.39*x CO2
25189,0.25-0.25*x Bi2O3 + 0.04 K2CO3 + 0.25*x La2O3 + 0.21 Na2CO3 + 1 TiO2 ,1 (Bi1-xLax)0.5(Na0.84K0.16)0.5TiO3 + 0.25 CO2
25190,x B2O3 + (1-x)*(2-x) BaCO3 + 0.25*x*(1-x) La2O3 + 0.25*x*(1-x) Li2CO3 + 1-x-0.5*(1-x)*(2-x)-0.5*x*(1-x) O2 + 9-9*x TiO2 ,1 (1-x)Ba2-x(Li0.5La0.5)xTi9O20-xB2O3 + (1-x)*(2-x)+0.25*x*(1-x) CO2
25191,2 BaCO3 + 0.25*x La2O3 + 0.25*x Ta2O5 + 9-x TiO2 ,1 Ba2Ti9-x(La0.5Ta0.5)xO20 + 2 CO2
25192,2-0.5*x Bi2O3 + x CaCO3 + 3 TiO2 ,1 CaxBi4-xTi3O12-x/2 + x CO2
25193,0.04 (MgCO3)4.Mg(OH)2.5H2O + 0.4 Ga2O3 + 0.45 La2O3 + 0.07 O2 + 0.1 SrCO3 ,1 La0.9Sr0.1Ga0.8Mg0.2O3 + 0.26 CO2 + 0.09 H2O
25194,0.04 (MgCO3)4.Mg(OH)2.5H2O + 0.4 Ga2O3 + 0.45-0.5*x La2O3 + 0.07+0.75*x O2 + 0.1 SrCO3 ,1 La0.9-xSr0.1Ga0.8Mg0.2O3 + 0.26 CO2 + 0.09 H2O
25195,3 Li2CO3 + 1 Nb2O5 + 3 TiO2 ,1 3Li2O-Nb2O5-3TiO2 + 3 CO2
25196,1.5 Li2CO3(97) + 2-2*x MgO + 2*x MnCO3 + 0.5 Nb2O5 ,1 Li3(Mg1-xMnx)2NbO6 + 1.5+2*x CO2
25197,0.067*x 4MgCO3-Mg(OH)2\u00b75H2O + 0.3 BaCO3 + 0.334 Nb2O5 + 0.7 SrCO3 + 0.333-0.333*x ZnO ,1 (Ba0.3Sr0.7)((Zn1-xMgx)1/3Nb2/3)O3 + 1+0.266*x CO2 + 0.4*x H2O
25198,1 BaCO3 + 1 H3BO3 + 0.5 Li2CO3 ,1 LiBaBO3 + 1.5 CO2 + 1.5 H2O ; target LiBaBO3 with additives Ce via CeO2 ; target LiBaBO3 with additives Ce via CeO2
25199,2 Bi2O3 + 2-x CaCO3 + x SrCO3 + 5 TiO2 ,1 Ca2-xSrxBi4Ti5O18 + 2 CO2
25200,1.5 Li2CO3 + 2 MgO + 0.5 Nb2O5 ,1 Li3Mg2NbO6 + 1.5 CO2
25201,0.5 Bi2O3 + 3 NH4VO3 + 1 Na2CO3 + 2 ZnO ,1 Na2BiZn2V3O12 + 1 CO2 + 1.5 H2O + 3 NH3
25202,0.5-0.5*x Fe2O3 + 0.25 La2O3 + x MnO2 + 0.125-0.25*x O2 + 0.5 SrCO3 ,1 La0.5Sr0.5Fe1-xMnxO3 + 0.5 CO2
25203,0.5*x Eu2O3 + 0.25-0.25*x K2CO3 + 0.25-0.25*x Na2CO3 + 0.5-0.5*x Nb2O5 + x TiO2 ,1 (1-x)K0.5Na0.5NbO3-xEuTiO3 + 0.5-0.5*x CO2 + 0.25*x O2
25204,1 BaCO3 + 1 TiO2 ,1 BaTiO3 + 1 CO2
25205,0.92 BaCO3 + 0.04 Bi2O3 + 0.04 Fe2O3 + 0.92 TiO2 ,1 (Ba0.92Bi0.08)(Ti0.92Fe0.08)O3 + 0.92 CO2
25206,1-y HfO2 + x-0.5*y Li2CO3 + 0.5*y Nb2O5 + 1-x SrCO3 ,1 Li2x-ySr1-xHf1-yNbyO3 + 1-0.5*y CO2
25207,0.24-0.25*x K2CO3 + 0.02 Li2CO3 + 0.24+0.25*x Na2CO3 + 0.48-0.5*x Nb2O5 + 0.5*x O2 + 0.5*x Sb2O3 + 0.02 Ta2O5 ,1 (0.96-x)K0.5Na0.5NbO3-0.04LiTaO3-xNaSbO3 + 0.5 CO2
25208,0.25 K2CO3 + 0.25 Na2CO3 + 0.5-0.5*x Nb2O5 + 0.5*x V2O5 ,1 (K0.5Na0.5)(Nb1-xVx)O3 + 0.5 CO2
25209,0.5 Gd2O3 + 3 H3BO3 + 3 Li2CO3 ,1 Li6Gd(BO3)3 + 3 CO2 + 4.5 H2O ; target Li6Gd(BO3)3 with additives Eu via Eu2O3 ; target Li6Gd(BO3)3 with additives Eu via Eu2O3
25210,1-x BaCO3 + x CaCO3 + 6 Fe2O3 ,1 Ba1-xCaxFe12O19 + 1 CO2
25211,1 Nb2O5 + 1 NiO ,1 NiNb2O6
25212,1 Bi2O3 + 0.5 Fe2O3 + 1.5 La2O3 + 3 TiO2 ,1 Bi2La3Ti3FeO15
25213,1 BaO + 1 CuO + 4 SiO2 ,1 MCuSi4O10; M = Ba
25214,1 CuO + 4 SiO2 + 1 SrCO3 ,1 MCuSi4O10 + 1 CO2; M = Sr
25215,1 BaO + 1 CuO + 4 SiO2 ,1 BaCuSi4O10
25216,1 CuO + 4 SiO2 + 1 SrCO3 ,1 SrCuSi4O10 + 1 CO2
25217,0.35 Bi2O3 + 0.35 Fe2O3 + 0.3-x SrCO3 + 0.3-0.5*x TiO2 + 0.5*x ZnO ,1 0.7BiFeO3-xA'(Zn1/2Ti1/2)O3-(0.3-x)SrTiO3 + 0.3-x CO2 + 0.75*x O2
25218,1 CaCO3 + 2 La2O3 + 4 TiO2 ,1 CaLa4Ti4O15 + 1 CO2
25219,0.25 Fe2O3 + 0.75 O2 + 0.25 Sb2O3 + 1 SnO ,1 (M1/2Sb1/2Sn)O4; M = Fe
25220,0.5 In(CH3COO)3 + 0.75 O2 + 0.25 Sb2O3 + 1 SnO + 1.5 [OH-] ,1 (M1/2Sb1/2Sn)O4 + 0.75 H2O + 1.5 [CH3COO-]; M = In
25221,x BaCO3 + 0.15 Bi2O3 + 0.35-0.5*x Na2CO3 + 0.2-0.5*x Nb2O5 + 0.6+0.8*x TiO2 + 0.2*x ZrO2 ,1 0.6Bi0.5Na0.5TiO3-(0.4-x)NaNbO3-xBa(Zr0.2Ti0.8)O3 + 0.35+0.5*x CO2
25222,-0.33+0.33*x CaCO3 + 0.335 La2O3 + 1 MnCO3 + 0.662-0.33*x O2 + 0.33*x SrCO3 ,1 La0.67(Cax-1Srx)0.33MnO3 + 0.67+0.66*x CO2
